Dataset,zeta1,zeta2,zeta3,zeta4,zeta5,zeta6,zeta7,zeta8,k,beta,gamma,clusters
ST_A1,1,0.0,1.0,1.0,0,0,0,0,15,10000.0,10.0,6
ST_B1,1,0.0,0.0,1.0,0,0,0,0,10,10.0,100.0,5
ST_C1,1,1.0,1.0,0.0,0,0,0,0,10,10.0,10.0,4
ST_D1,1,1.0,0.0,1.0,0,0,0,0,15,1000.0,10000.0,4
ST_E1,1,0.0,1.0,0.0,0,0,0,0,5,100.0,100.0,4
ST_F1,1,0.0,0.0,1.0,0,0,0,0,20,10.0,10.0,4
ST_H1,1,1.0,1.0,0.0,0,0,0,0,10,1000.0,100.0,7
151507,1,1.0,1.0,0.0,0,0,0,0,20,10.0,10.0,7
151508,1,1.0,0.0,0.0,0,0,0,0,20,10000.0,100.0,7
151509,1,1.0,1.0,1.0,0,0,0,0,10,10000.0,10000.0,7
151510,1,0.0,1.0,0.0,0,0,0,0,5,1000.0,10000.0,7
151669,1,0.0,1.0,0.0,0,0,0,0,20,10.0,10.0,5
151670,1,0.0,1.0,1.0,0,0,0,0,20,10.0,100.0,5
151671,1,0.0,0.0,1.0,0,0,0,0,15,10.0,100.0,5
151672,1,1.0,0.0,0.0,0,0,0,0,20,1000.0,10.0,5
151673,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10,1000,10000.0,7
151674,1,0.0,1.0,1.0,0,0,0,0,15,10000.0,1000.0,7
151675,1,0.0,0.0,0.0,0,0,0,0,20,10.0,10000.0,7
151676,1,0.0,0.0,1.0,0,0,0,0,10,10.0,10.0,7
Visium_Breast_Tumor,1,1.0,0.0,1.0,0,0,0,0,15,1000.0,10.0,20
STARmap,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,1000,1000,7
MERFISH_Data4,1,0,0,0,0,1,0,0,15,10000.0,10000.0,8
MERFISH_Data9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10,10000.0,1000.0,8
MERFISH_Data14,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15,10000.0,10.0,8
MERFISH_Data19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,10000.0,100.0,8
MERFISH_Data24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10000.0,100.0,8
StereoSeq_E9.5_E1S1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,10.0,10000.0,12
StereoSeq_E9.5_E2S1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,10.0,1000.0,14
StereoSeq_E9.5_E2S2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,10.0,10.0,13
StereoSeq_E9.5_E2S3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,1000.0,10.0,13
StereoSeq_E9.5_E2S4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,10.0,10.0,13
StereoSeq_E10.5_E1S1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15,10.0,10.0,13
StereoSeq_E10.5_E1S2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,15,10.0,10.0,11
StereoSeq_E10.5_E1S3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15,10000.0,1000.0,16
StereoSeq_E10.5_E2S1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,20,1000.0,100.0,18
Slice_1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5,100,10000.0,6
Slice_2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10,10000,1000.0,6
Slice_3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,10000,1000.0,6
